sentence1,sentence2,label,index,gold_label
"In our society, profit is often a dirty word.",I am a firm believer in the free market.,0.9,4525,entailment
design and environmental initiatives . The group is intended to act as a think tank ' and offer expertise to the development community and statutory regeneration agencies . General Comments,"The project will be an opportunity for people with different views to meet, discuss, and share ideas.",0.5,5353,neutral
He was accused by the daily mirror of living the high life at the charity's expense.,He was accused of being too rich for his boots. He said that the money he was receiving had been used to help those who needed it most.,0.5,2184,neutral
room in D 17 at 419 3452 Those people at UCL can be contacted by snail mail at : Department of Physics and Astronomy University College London Gower Street London England WC,room in D 17 at 419 3452 Those people at UCL can be contacted by fax at: Department of Physics and Astronomy University College London Gower Street London England WC,0.1,5842,contradiction
many young street girls are vulnerable to abuse which can also result in unplanned pregnancy,many young street girls are not susceptible to such exploitation and are not at risk of pregnancy and unwanted pregnancies,0.1,4987,contradiction
Add some slices of lemon to your iced tea or sparkling water.,Don't put sugar in the food you eat.,0.1,4166,contradiction
"the chair of Lawyers for Change and a partner at Kaltons LLP , a commercial law firm specialising in technology and innovations . What I do is bring people together and help","to make the world a better place. I am an activist in the fields of human rights, gender equality, LGBT rights, the environment, the arts, and technology.",0.5,7904,neutral
He gave me some Spanish books and a pocket book and diary.,He gave me a book of poetry that he had been saving for a while.,0.5,3623,neutral
"the lessons . ' In O ' Brien 's case the prosecutor said "" clearly monkey business "" had occurred with police notes . In interrogation I was offered £ 10,000 to", the prosecutor's statement ,0.9,7483,entailment
"As soon as they arrived at the circus, Adam bought popcorn and delicious cotton candy.",The circus was a great success and the circus people were great people.,0.9,1030,entailment
"They had complaints of alcohol poisoning, mental disorders and liver disease.","The patients' complaints of alcohol poisoning, mental disorders and liver disease were all related.",0.9,4895,entailment
"includes sado-masochists , New Agers , anthropologists , schizophrenics , anti-authoritarians , Christian Fundamentalists , think tank social engineers , Fascists , proto-Cubists . . . Round up the unusual suspects .","I'm a writer, not a psychologist. I write about the strange, the strange, and the weird. The strange and strange. The weird.",0.5,5369,neutral
"By way of compensation, one boy wore a bow tie of purest white.","By way of compensation, one boy wore a t-shirt of sheer black.",0.1,464,contradiction
"to optimise the potential of our combined UK dealer network , which is a true gold mine . European distribution is now centralised in Lausanne and there are now one national import",to be able to offer customers in the US and Canada a wider choice of products and prices.,0.5,8834,neutral
"After restoration in 1876 and again in 1905, the building re-opened for divine service.","After restoration, the building re-opened for divine service.",0.9,1201,entailment
The close call with death left her deeply religious with a great devotion the Virgin Mary.,A lot of people think I'm crazy. But I'm not. I'm just a little more open with my feelings.,0.5,746,neutral
"In our society, profit is often a dirty word.",We need a society that works for all of us.,0.1,4537,contradiction
New York's subway system carries 4.5 million riders daily.,The New York subway system carries 4.5 million riders daily.,0.9,4215,entailment
"The jury heard the evidence presented, that he was general bad hat.","The jury heard the evidence presented, that he was not good.",0.5,147,neutral
" The role of the working class was not to be a foot soldier of the actions of a "" left-wing "" reforming government."," The role of the working class in a revolutionary movement is to be the revolutionary wing of the bourgeoisie, to lead the class struggle and the revolution. ",0.5,1767,neutral
There are two entrances into the cottage from the main courtyard . One of the ground floor bedrooms has an entrance directly into one double bedroom and the other wide french doors,There are two entrances into the cottage from the main courtyard. One of the ground floor bedrooms has an entrance directly into one double bedroom and the other wide french doors,0.9,8467,entailment
These tolls announce the death of a nun and call for prayers for her eternal rest.,This toll does not announce the death of a nun and calls for prayers for the dead.,0.1,1641,contradiction
""" More and more malware is being written by criminals , designed to steal bank account information from innocent computer users , "" continued Cluley . "" All internet users need",a secure and private internet to enjoy the benefits of modern technology. It is important to,0.5,10864,neutral
The record book must include details of the assets comprised in the estate and their expected realisable values.,The records must include details of assets and their expected realisable values.,0.9,3853,entailment
"Once the dough is prepared we start the proving process, which takes more time than elbow grease.","Once the proofing is finished we begin the cooking process. This can be a little tricky, and requires a fair amount of patience, but once the dough is cooked, it is ready.",0.5,1484,neutral
"was run down by a white van , registration number NID 92 , on a zebra crossing in the Goldhawk Road . A van with the same registration had been seen outside","was run down by a red car in the Silverway, NID 92, on an un-signposted pedestrian crossing. It was also un-signposted",0.1,5189,contradiction
It will be your responsibility to update your record book which will show evidence of your experience and achievements.,The information will be presented in a way that is understandable and helpful.,0.5,3882,neutral
They will deal with all situations tactfully and with sound judgement.,The students will work together to solve the problem.,0.9,4058,entailment
"shopping , the first thing to remember is that you should not park in the parking lot and walk to the mall buildings , because you will probably get killed . Instead","you should walk into the shopping center and walk around for a bit. If you are lucky, you will see a girl who is dressed like a girl and she will ask you for directions",0.5,7122,neutral
A government's success in reducing population movement should be a key factor in allocating economic aid.,A government's failure in its duty of protection should be a key factor in allocating financial assistance.,0.1,1430,contradiction
More ideas will follow when I get the grey matter functioning.,I'm just not ready to give up yet.,0.5,1976,neutral
"BECK Cyril & Sylvia Congratulations on your ... BECK Cyril & Sylvia Congratulations on your diamond wedding anniversarie July 20 th 2006 Much love from Melvyn , Margaret , Stewart , Pam","BECK Cyril & Sylvia Congratulations on your... BECK Cyril & Sylvia Congratulations on your diamond wedding anniversarie July 20 2006 Much love from Melvyn, Margaret, Stewart, Pam",0.9,9468,entailment
It was working . The game was being played as we wanted and then the game plan took a dramatic turn of events ; with the play sublime the ball must have,We are not going to make any excuses. It is not acceptable and it will not be tolerated by the club.,0.5,8901,neutral
"Yes it is a relief knowing I am not a nut case, or at least not totaly.","It is a relief knowing that I am not a nut case, or at least not totaly.",0.9,3289,entailment
. History Medieval bathing in Bath - History of Bath Medieval bathing in Bath The brass rings that can be seen visible in the walls record grateful bathers cured by the water, The only thing that makes me feel comfortable is being naked,0.1,10735,contradiction
